obs_id,session,trip_direction,bus_company,scenario_id,policy,signal_pattern,traffic_condition,crowding_level,stop_sequence,stop_key,stop_label,coordinates,stop_kind,arrived_at_stop_time,dwell_at_stop_s,departed_stop_time,leg_travel_before_stop_s,stop_timeline_source
1,Morning Session,wm_to_rb,San Agustin,U1_unlisted_informal,unlisted_informal,G-R,Light,Medium,0,waltermart,Waltermart Dasmariñas (formal bus stop),"14.324939, 120.940955",terminal_formal,06:02:00,32.0,06:02:32,0.0,schedule_aligned_to_uxsim_e2e
1,Morning Session,wm_to_rb,San Agustin,U1_unlisted_informal,unlisted_informal,G-R,Light,Medium,1,rcbc,RCBC Bank (informal),"14.322737, 120.941631",informal,06:03:05,16.7,06:03:21,33.3,schedule_aligned_to_uxsim_e2e
1,Morning Session,wm_to_rb,San Agustin,U1_unlisted_informal,unlisted_informal,G-R,Light,Medium,2,waltermart_int,Waltermart Dasmariñas Intersection Signal,"14.322364, 120.941649",signal,06:03:28,83.2,06:04:51,7.9,schedule_aligned_to_uxsim_e2e
1,Morning Session,wm_to_rb,San Agustin,U1_unlisted_informal,unlisted_informal,G-R,Light,Medium,3,adhoc_unlisted_1,Unlisted informal curb #1 (near Robinsons),,informal,06:05:17,16.7,06:05:33,26.9,schedule_aligned_to_uxsim_e2e
1,Morning Session,wm_to_rb,San Agustin,U1_unlisted_informal,unlisted_informal,G-R,Light,Medium,4,vista_mall,Vista Mall Dasmariñas (formal),"14.316870, 120.944150",formal,06:06:18,16.7,06:06:34,45.4,schedule_aligned_to_uxsim_e2e
1,Morning Session,wm_to_rb,San Agustin,U1_unlisted_informal,unlisted_informal,G-R,Light,Medium,5,villa_verde,Villa Verde (formal),"14.314900, 120.945000",formal,06:06:41,16.7,06:06:57,7.9,schedule_aligned_to_uxsim_e2e
1,Morning Session,wm_to_rb,San Agustin,U1_unlisted_informal,unlisted_informal,G-R,Light,Medium,6,rkp_trading,RKP Trading Corporation (formal),"14.303230, 120.954053",formal,06:09:29,16.7,06:09:45,152.4,schedule_aligned_to_uxsim_e2e
1,Morning Session,wm_to_rb,San Agustin,U1_unlisted_informal,unlisted_informal,G-R,Light,Medium,7,pala_pala,Pala-Pala Intersection Signal,"14.302125, 120.954055",signal,06:09:55,180.0,06:12:55,10.8,schedule_aligned_to_uxsim_e2e
1,Morning Session,wm_to_rb,San Agustin,U1_unlisted_informal,unlisted_informal,G-R,Light,Medium,8,robinsons,Robinson Place Dasmariñas (formal bus stop),"14.300037, 120.954412",terminal_formal,06:13:24,39.1,06:14:03,29.6,schedule_aligned_to_uxsim_e2e
1,Morning Session,wm_to_rb,San Agustin,U1_unlisted_informal,unlisted_informal,R-G,Light,Medium,0,waltermart,Waltermart Dasmariñas (formal bus stop),"14.324939, 120.940955",terminal_formal,06:02:00,17.6,06:02:17,0.0,schedule_aligned_to_uxsim_e2e
1,Morning Session,wm_to_rb,San Agustin,U1_unlisted_informal,unlisted_informal,R-G,Light,Medium,1,rcbc,RCBC Bank (informal),"14.322737, 120.941631",informal,06:02:50,9.2,06:02:59,33.2,schedule_aligned_to_uxsim_e2e
1,Morning Session,wm_to_rb,San Agustin,U1_unlisted_informal,unlisted_informal,R-G,Light,Medium,2,waltermart_int,Waltermart Dasmariñas Intersection Signal,"14.322364, 120.941649",signal,06:03:06,60.0,06:04:06,7.9,schedule_aligned_to_uxsim_e2e
1,Morning Session,wm_to_rb,San Agustin,U1_unlisted_informal,unlisted_informal,R-G,Light,Medium,3,adhoc_unlisted_1,Unlisted informal curb #1 (near Robinsons),,informal,06:04:32,9.2,06:04:41,26.9,schedule_aligned_to_uxsim_e2e
1,Morning Session,wm_to_rb,San Agustin,U1_unlisted_informal,unlisted_informal,R-G,Light,Medium,4,vista_mall,Vista Mall Dasmariñas (formal),"14.316870, 120.944150",formal,06:05:26,9.2,06:05:35,45.4,schedule_aligned_to_uxsim_e2e
1,Morning Session,wm_to_rb,San Agustin,U1_unlisted_informal,unlisted_informal,R-G,Light,Medium,5,villa_verde,Villa Verde (formal),"14.314900, 120.945000",formal,06:05:42,9.2,06:05:51,7.9,schedule_aligned_to_uxsim_e2e
1,Morning Session,wm_to_rb,San Agustin,U1_unlisted_informal,unlisted_informal,R-G,Light,Medium,6,rkp_trading,RKP Trading Corporation (formal),"14.303230, 120.954053",formal,06:08:23,9.2,06:08:32,152.4,schedule_aligned_to_uxsim_e2e
1,Morning Session,wm_to_rb,San Agustin,U1_unlisted_informal,unlisted_informal,R-G,Light,Medium,7,pala_pala,Pala-Pala Intersection Signal,"14.302125, 120.954055",signal,06:08:42,83.2,06:10:05,10.8,schedule_aligned_to_uxsim_e2e
1,Morning Session,wm_to_rb,San Agustin,U1_unlisted_informal,unlisted_informal,R-G,Light,Medium,8,robinsons,Robinson Place Dasmariñas (formal bus stop),"14.300037, 120.954412",terminal_formal,06:10:34,21.6,06:10:55,29.6,schedule_aligned_to_uxsim_e2e
1,Morning Session,wm_to_rb,San Agustin,U1_unlisted_informal,unlisted_informal,R-R,Light,Medium,0,waltermart,Waltermart Dasmariñas (formal bus stop),"14.324939, 120.940955",terminal_formal,06:02:00,32.0,06:02:32,0.0,schedule_aligned_to_uxsim_e2e
1,Morning Session,wm_to_rb,San Agustin,U1_unlisted_informal,unlisted_informal,R-R,Light,Medium,1,rcbc,RCBC Bank (informal),"14.322737, 120.941631",informal,06:03:05,16.7,06:03:21,33.2,schedule_aligned_to_uxsim_e2e
1,Morning Session,wm_to_rb,San Agustin,U1_unlisted_informal,unlisted_informal,R-R,Light,Medium,2,waltermart_int,Waltermart Dasmariñas Intersection Signal,"14.322364, 120.941649",signal,06:03:28,60.0,06:04:28,7.9,schedule_aligned_to_uxsim_e2e
1,Morning Session,wm_to_rb,San Agustin,U1_unlisted_informal,unlisted_informal,R-R,Light,Medium,3,adhoc_unlisted_1,Unlisted informal curb #1 (near Robinsons),,informal,06:04:54,16.7,06:05:10,26.9,schedule_aligned_to_uxsim_e2e
1,Morning Session,wm_to_rb,San Agustin,U1_unlisted_informal,unlisted_informal,R-R,Light,Medium,4,vista_mall,Vista Mall Dasmariñas (formal),"14.316870, 120.944150",formal,06:05:55,16.7,06:06:11,45.4,schedule_aligned_to_uxsim_e2e
1,Morning Session,wm_to_rb,San Agustin,U1_unlisted_informal,unlisted_informal,R-R,Light,Medium,5,villa_verde,Villa Verde (formal),"14.314900, 120.945000",formal,06:06:18,16.7,06:06:34,7.9,schedule_aligned_to_uxsim_e2e
1,Morning Session,wm_to_rb,San Agustin,U1_unlisted_informal,unlisted_informal,R-R,Light,Medium,6,rkp_trading,RKP Trading Corporation (formal),"14.303230, 120.954053",formal,06:09:06,16.7,06:09:22,152.4,schedule_aligned_to_uxsim_e2e
1,Morning Session,wm_to_rb,San Agustin,U1_unlisted_informal,unlisted_informal,R-R,Light,Medium,7,pala_pala,Pala-Pala Intersection Signal,"14.302125, 120.954055",signal,06:09:32,180.0,06:12:32,10.8,schedule_aligned_to_uxsim_e2e
1,Morning Session,wm_to_rb,San Agustin,U1_unlisted_informal,unlisted_informal,R-R,Light,Medium,8,robinsons,Robinson Place Dasmariñas (formal bus stop),"14.300037, 120.954412",terminal_formal,06:13:01,39.1,06:13:40,29.6,schedule_aligned_to_uxsim_e2e
1,Morning Session,wm_to_rb,San Agustin,U2_unlisted_informal,unlisted_informal,G-G,Light,Medium,0,waltermart,Waltermart Dasmariñas (formal bus stop),"14.324939, 120.940955",terminal_formal,06:02:00,32.0,06:02:32,0.0,schedule_aligned_to_uxsim_e2e
1,Morning Session,wm_to_rb,San Agustin,U2_unlisted_informal,unlisted_informal,G-G,Light,Medium,1,rcbc,RCBC Bank (informal),"14.322737, 120.941631",informal,06:03:04,16.7,06:03:20,32.4,schedule_aligned_to_uxsim_e2e
1,Morning Session,wm_to_rb,San Agustin,U2_unlisted_informal,unlisted_informal,G-G,Light,Medium,2,waltermart_int,Waltermart Dasmariñas Intersection Signal,"14.322364, 120.941649",signal,06:03:27,83.2,06:04:50,7.7,schedule_aligned_to_uxsim_e2e
1,Morning Session,wm_to_rb,San Agustin,U2_unlisted_informal,unlisted_informal,G-G,Light,Medium,3,adhoc_unlisted_1,Unlisted informal curb #1 (near Robinsons),,informal,06:05:16,16.7,06:05:32,26.3,schedule_aligned_to_uxsim_e2e
1,Morning Session,wm_to_rb,San Agustin,U2_unlisted_informal,unlisted_informal,G-G,Light,Medium,4,vista_mall,Vista Mall Dasmariñas (formal),"14.316870, 120.944150",formal,06:06:16,16.7,06:06:32,44.3,schedule_aligned_to_uxsim_e2e
1,Morning Session,wm_to_rb,San Agustin,U2_unlisted_informal,unlisted_informal,G-G,Light,Medium,5,villa_verde,Villa Verde (formal),"14.314900, 120.945000",formal,06:06:39,16.7,06:06:55,7.7,schedule_aligned_to_uxsim_e2e
